round_index,selected_model,selected_overlap,prior_signal_objective,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
644,signal-g00622-c01-5b0ae9f103,0.65,-0.03642225208220938,3.0,0.2015488677775112,0.03811602754745547,0.0016182490403544997,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
645,signal-g00622-c01-5b0ae9f103,0.65,-0.03345408659571658,1.0,0.17718522803206968,-0.07827658201684606,-0.00526669252443164,1.0,0.8,0.0,0.0,1.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6972143554687498
646,signal-g00622-c01-5b0ae9f103,0.65,-0.03557600403632347,1.0,0.18629231518268724,-0.026050527696118486,-0.0024804474404933607,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
647,signal-g00622-c01-5b0ae9f103,0.65,-0.03676207329518574,1.0,0.17239120150607457,-0.09964075098619585,-0.006227754353751169,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
648,signal-g00622-c01-5b0ae9f103,0.65,-0.03972562827986202,1.0,0.1831002950432638,-0.05285415170482288,-0.003001225043300984,1.0,1.0,0.0,0.0,1.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6772143554687498
649,signal-g00622-c01-5b0ae9f103,0.65,-0.04178296462510883,1.0,0.18071927599063156,-0.06241749063880597,-0.0037288615401367964,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
650,signal-g00622-c01-5b0ae9f103,0.65,-0.04229850703021856,3.0,0.19299431522789678,0.009679271641952703,-0.00031850285037604564,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
651,signal-g00622-c01-5b0ae9f103,0.65,-0.038823883352509914,1.0,0.18204123301667216,-0.05891960034268573,-0.003219223858189249,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
652,signal-g00622-c01-5b0ae9f103,0.65,-0.03810972657886635,2.0,0.19841025917285235,0.017951381191095628,0.0014428062120112883,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
653,signal-g00622-c01-5b0ae9f103,0.65,-0.03793930322780261,2.0,0.18744425925090208,-0.026233598465367436,-0.0021844824651577194,3.0,1.2,1.0,0.0,3.47,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6927856445312504
654,signal-g00622-c01-5b0ae9f103,0.65,-0.03909227814623091,2.0,0.20167622981973446,0.027280831918498727,0.001845386207226532,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
