round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
161,evo-g00613-c01-ac96dbf10a,2.060000,2.503750,-0.443750,2,0.600000,0,0,2.250000,1.225000,0.375000,0.000000
162,evo-g00613-c01-ac96dbf10a,2.120000,2.636250,-0.516250,2,1.200000,0,0,2.375000,1.300000,0.375000,0.000000
163,evo-g00613-c01-ac96dbf10a,3.530000,2.513750,1.016250,3,1.800000,1,0,2.250000,1.325000,0.375000,0.000000
164,evo-g00613-c01-ac96dbf10a,2.120000,2.558750,-0.438750,2,1.200000,0,0,2.250000,1.275000,0.250000,0.125000
165,evo-g00613-c01-ac96dbf10a,5.260000,2.921250,2.338750,4,1.600000,1,1,2.500000,1.525000,0.500000,0.125000
166,evo-g00613-c01-ac96dbf10a,2.160000,2.283750,-0.123750,2,1.600000,0,0,2.125000,1.150000,0.125000,0.000000
167,evo-g00613-c01-ac96dbf10a,2.120000,3.207500,-1.087500,2,1.200000,0,0,2.750000,1.450000,0.625000,0.125000
168,evo-g00613-c01-ac96dbf10a,2.120000,2.335000,-0.215000,2,1.200000,0,0,2.125000,1.225000,0.250000,0.000000
169,evo-g00613-c01-ac96dbf10a,3.550000,2.031250,1.518750,3,2.000000,1,0,1.875000,1.125000,0.125000,0.000000
170,evo-g00613-c01-ac96dbf10a,2.100000,3.771250,-1.671250,2,1.000000,0,0,3.125000,1.525000,0.875000,0.250000
171,evo-g00613-c01-ac96dbf10a,5.280000,2.503750,2.776250,4,1.800000,1,1,2.250000,1.225000,0.375000,0.000000
172,evo-g00613-c01-ac96dbf10a,3.530000,3.330000,0.200000,3,1.800000,1,0,2.875000,1.425000,0.625000,0.125000
173,evo-g00613-c01-ac96dbf10a,2.120000,2.896250,-0.776250,2,1.200000,0,0,2.500000,1.275000,0.500000,0.125000
174,evo-g00613-c01-ac96dbf10a,3.490000,2.153750,1.336250,3,1.400000,1,0,2.000000,1.100000,0.125000,0.000000
175,evo-g00613-c01-ac96dbf10a,2.100000,2.568750,-0.468750,2,1.000000,0,0,2.250000,1.375000,0.250000,0.125000
