round,draw_date,selected_meta_version,meta_top7_hits,hedge_top7_hits,meta_actual_mass,hedge_actual_mass,meta_mean_log_prob_actual,hedge_mean_log_prob_actual,meta_brier,hedge_brier
第588回,2024-08-16,meta-conservative-bacedfc8a9,2.000000,2.000000,0.187630925806,0.164242428701,-3.619486852496,-3.883181983944,0.116303090973,0.132136858742
第589回,2024-08-23,meta-conservative-bacedfc8a9,3.000000,0.000000,0.190615941132,0.132290725081,-3.603770923355,-3.992036669901,0.115463632826,0.140576946443
第590回,2024-08-30,meta-conservative-bacedfc8a9,1.000000,1.000000,0.190004397702,0.181232694147,-3.607621462752,-3.751075765964,0.115744895323,0.125255154260
第591回,2024-09-06,meta-conservative-bacedfc8a9,1.000000,1.000000,0.191761198168,0.176779022911,-3.598170062445,-3.805582539864,0.115206497360,0.127003663800
第592回,2024-09-13,meta-conservative-bacedfc8a9,1.000000,3.000000,0.192818650415,0.221917115348,-3.599494921311,-3.575190031060,0.115009506213,0.116485494186
第593回,2024-09-20,meta-conservative-bacedfc8a9,2.000000,2.000000,0.190200516314,0.263860118780,-3.607857381470,-3.403375235757,0.115703580067,0.104857015572
第594回,2024-09-27,meta-conservative-bacedfc8a9,0.000000,0.000000,0.178963374498,0.128009925875,-3.667600097385,-4.020373749610,0.119222872267,0.146056847884
第595回,2024-10-04,meta-conservative-bacedfc8a9,0.000000,1.000000,0.182802958784,0.261545552499,-3.646616430110,-3.563731785871,0.117818108802,0.106619144357
第596回,2024-10-11,meta-conservative-bacedfc8a9,2.000000,2.000000,0.191948308845,0.190763029521,-3.597728469144,-3.658994042314,0.115134436235,0.135188534384
第597回,2024-10-18,meta-conservative-bacedfc8a9,1.000000,2.000000,0.190470730517,0.269286920114,-3.606853294934,-3.582404983893,0.115681240723,0.107873119336
第598回,2024-10-25,meta-conservative-bacedfc8a9,1.000000,0.000000,0.182482295528,0.140285945673,-3.650249841965,-3.934725129050,0.118109417373,0.153384657057
