round,draw_date,calibration_version,temperature,uniform_mix,rank_preserved,calibrated_top7_hits,champion_top7_hits,calibrated_actual_mass,champion_actual_mass,calibrated_mean_log_prob_actual,champion_mean_log_prob_actual,calibrated_brier,champion_brier
第596回,2024-10-11,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189236404399,0.190763029521,-3.610725065962,-3.658994042314,0.115834453049,0.135188534384
第597回,2024-10-18,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.191592121117,0.269286920114,-3.599170120716,-3.582404983893,0.115156999113,0.107873119336
第598回,2024-10-25,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187722091884,0.140285945673,-3.618714453628,-3.934725129050,0.116270510456,0.153384657057
第599回,2024-11-01,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188354780912,0.161375579961,-3.615395110168,-3.846009211101,0.116084640596,0.141690640730
第600回,2024-11-08,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189355714708,0.194740039802,-3.610155523089,-3.683116111108,0.115796952506,0.130261264146
第601回,2024-11-15,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188521340615,0.166927570034,-3.614488820878,-3.788675500233,0.116031984975,0.134474208000
第602回,2024-11-22,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.190754995956,0.241382748075,-3.603049049075,-3.594174482538,0.115391096371,0.110199784210
第603回,2024-11-29,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188798828825,0.176177177043,-3.613047932816,-3.767673678977,0.115954064227,0.133344349502
第604回,2024-12-06,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188976173829,0.182088677182,-3.612212707698,-3.793001893270,0.115901329935,0.129361692407
第605回,2024-12-13,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189865939099,0.211747519504,-3.607690243650,-3.697550234593,0.115646691259,0.120421040675
第606回,2024-12-20,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188350226589,0.161223769171,-3.615418535599,-3.849091643495,0.116081567268,0.136873388498
第607回,2024-12-27,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188257794781,0.158142708914,-3.615873093118,-3.821533297388,0.116106693591,0.136328397297
第608回,2025-01-10,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188480711289,0.165573259182,-3.614721071650,-3.812854279799,0.116040754537,0.131706912803
第609回,2025-01-17,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189086815281,0.185776725569,-3.611528680639,-3.695381805259,0.115866176704,0.124373089058
第610回,2025-01-24,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.188845034681,0.177717372262,-3.612777572423,-3.729025264946,0.115934995349,0.126385176745
第611回,2025-01-31,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190104325092,0.219693719299,-3.606138170504,-3.498502909814,0.115574135141,0.113210882598
第612回,2025-02-07,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189153900074,0.188012885361,-3.611198020284,-3.719503826406,0.115846094427,0.122717305645
第613回,2025-02-14,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187181253185,0.122257989062,-3.621610755248,-4.092587778376,0.116409891554,0.141708563117
第614回,2025-02-21,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189159567282,0.188201792271,-3.611228046073,-3.761912654991,0.115843298420,0.121355771462
第615回,2025-02-28,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188588436791,0.169164109259,-3.614134702392,-3.765098065527,0.116009471174,0.130120235206
第616回,2025-03-07,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190382522071,0.228966951903,-3.604790655695,-3.515508243703,0.115495243581,0.111220598822
第617回,2025-03-14,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187678133079,0.138820652173,-3.618958913024,-3.960345471216,0.116269682132,0.138927776291
第618回,2025-03-21,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190822187908,0.243622479818,-3.602554344123,-3.488023409194,0.115368652627,0.105953146572
第619回,2025-03-28,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189505677339,0.199738794171,-3.609285533368,-3.590599612677,0.115748464001,0.122564116800
第620回,2025-04-04,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188987181203,0.182455589643,-3.612018681072,-3.688816044517,0.115893910751,0.124507727902
第621回,2025-04-11,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.188382238513,0.162290833313,-3.615203520105,-3.779391929252,0.116065644721,0.129039310458
第622回,2025-04-18,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189624214913,0.203690046640,-3.608746714164,-3.636919208421,0.115709108691,0.115338041193
第623回,2025-04-25,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189320123493,0.193553665989,-3.610269967407,-3.631896042303,0.115797541147,0.119955476239
第624回,2025-05-02,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189969049620,0.215184536880,-3.606926307581,-3.561158950484,0.115611165142,0.112699070667
第625回,2025-05-09,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188817523410,0.176800329870,-3.612915235870,-3.714492660173,0.115941331128,0.124953206864
第626回,2025-05-16,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190787690028,0.242472550482,-3.602791955150,-3.534773649583,0.115378074027,0.105798211990
第627回,2025-05-23,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.190377649881,0.228804545576,-3.605159073338,-3.668806394174,0.115499830312,0.114816642214
第628回,2025-05-30,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188560177726,0.168222140409,-3.614260118285,-3.745158078877,0.116023733817,0.137265618483
第629回,2025-06-06,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188521743589,0.166941002509,-3.614489079305,-3.780841078182,0.116031625484,0.134198864215
第630回,2025-06-13,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.191436539101,0.264100852930,-3.599572166515,-3.453151796234,0.115196298887,0.103630151992
第631回,2025-06-20,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187243342615,0.124327636732,-3.621265879332,-4.052771700741,0.116399420525,0.149193689255
第632回,2025-06-27,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187901154550,0.146254701216,-3.617767017255,-3.898307458854,0.116208978246,0.140155466907
第633回,2025-07-04,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188355618309,0.161403493193,-3.615360039134,-3.811626712335,0.116076439885,0.132836604578
第634回,2025-07-11,shrink-0p97-2331e361dd,1.000000,0.970000,true,4.000000,4.000000,0.190550105717,0.234553073433,-3.603816678624,-3.450935905194,0.115448106195,0.110450848874
第635回,2025-07-18,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.191936780144,0.280775554352,-3.596744590424,-3.341941662919,0.115052386724,0.097770228051
第636回,2025-07-25,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189687383243,0.205795657654,-3.608497952211,-3.684374456296,0.115697392703,0.121772112274
第637回,2025-08-01,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.188328730560,0.160507234886,-3.615487806044,-3.792052747398,0.116084998870,0.134066868284
第638回,2025-08-08,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.188298820543,0.159510234301,-3.615672569654,-3.839282329433,0.116091695440,0.132297114579
第639回,2025-08-15,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190542634269,0.234304025171,-3.603952182564,-3.510150865389,0.115449553953,0.109758736605
第640回,2025-08-22,shrink-0p97-2331e361dd,1.000000,0.970000,true,4.000000,4.000000,0.191258802324,0.258176293683,-3.600212221979,-3.418759850320,0.115246652097,0.104846520918
第641回,2025-08-29,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.188462194174,0.164956022015,-3.614821365673,-3.825610601204,0.116046610295,0.132511215403
第642回,2025-09-05,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.190520712125,0.233573287046,-3.604127203313,-3.553882071267,0.115457078560,0.111368783205
第643回,2025-09-12,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190457450115,0.231464553368,-3.604553229665,-3.596429051745,0.115475981277,0.112891120064
第644回,2025-09-19,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.190288565876,0.225835078766,-3.605303926703,-3.583284220814,0.115527267665,0.117870372216
第645回,2025-09-26,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188469941014,0.165214250017,-3.614796792031,-3.835839245272,0.116046566479,0.134848065078
第646回,2025-10-03,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189031984885,0.183949045722,-3.611828070721,-3.724143282217,0.115884624606,0.127986478512
第647回,2025-10-10,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.187680203869,0.138889678527,-3.618959900774,-3.979426849871,0.116269623085,0.139499840722
第648回,2025-10-17,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188694838577,0.172710835433,-3.613649591445,-3.827934831034,0.115978435184,0.128400796939
第649回,2025-10-24,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189006325128,0.183093720479,-3.612000589231,-3.753788598115,0.115889230837,0.125202936060
第650回,2025-10-31,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189246192602,0.191089302945,-3.610713745576,-3.694090577377,0.115821885320,0.124238536961
第651回,2025-11-07,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189252833179,0.191310655523,-3.610831816069,-3.781588413564,0.115819871023,0.124045305305
第652回,2025-11-14,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.190942112620,0.247619970230,-3.602255891048,-3.636791222353,0.115339374271,0.110350836625
第653回,2025-11-21,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189114216519,0.186690100178,-3.611438694022,-3.763521459470,0.115872345105,0.139664710356
第654回,2025-11-28,shrink-0p97-2331e361dd,1.000000,0.970000,true,2.000000,2.000000,0.189823398700,0.210329506231,-3.607821339773,-3.690589952421,0.115665234591,0.127925000828
第655回,2025-12-05,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.191362543616,0.261634336754,-3.599938991211,-3.524682422447,0.115222979579,0.110489454304
第656回,2025-12-12,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.188965534992,0.181734049290,-3.612188029165,-3.746803123278,0.115909090285,0.134708218078
第657回,2025-12-19,shrink-0p97-2331e361dd,1.000000,0.970000,true,0.000000,0.000000,0.187475543095,0.132067652716,-3.620048013052,-4.025207342899,0.116331971823,0.145753692024
第658回,2025-12-26,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.189545565578,0.201068402154,-3.609450535964,-3.791118010986,0.115739062397,0.124400935073
第659回,2026-01-09,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.187743592422,0.141002630278,-3.618625193262,-3.963896043984,0.116258875828,0.147078093206
第660回,2026-01-16,shrink-0p97-2331e361dd,1.000000,0.970000,true,1.000000,1.000000,0.190355176847,0.228055444452,-3.605524264570,-3.763038198312,0.115509351360,0.118475316740
第661回,2026-01-23,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.193469092114,0.331852620003,-3.590029030260,-3.474360842784,0.114629185022,0.099400912174
