round_index,selected_config,selected_config_score,gate,regime_stable,regime_shift,regime_volatile,metadata_active,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
670,joint-slow-regime-61d575a245,0.010139790993150094,0.2819044000158874,0.000579282242828541,0.03747102423661297,0.9619496935205585,0.0,1.0,0.1886518902207581,-0.003019983030768003,-0.0001771846700218821,2.0,1.0,0.0,0.0,2.1,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6772143554687498
671,joint-slow-regime-61d575a245,0.011834658343315584,0.30803499469811113,0.003394054492608612,0.08477591060925165,0.9118300348981397,0.0,2.0,0.19008866352334441,0.0037947220598812947,0.00022852803854918335,3.0,1.8,1.0,0.0,3.5300000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7527856445312504
672,joint-slow-regime-61d575a245,0.011582712334372606,0.2980426473260911,0.0010548833484665978,0.05557254940802384,0.9433725672435096,0.0,1.0,0.18825134110039532,-0.005277160573781803,-0.0002990150911672401,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
673,joint-slow-regime-61d575a245,0.01070406538595674,0.3086670087356767,0.005024406274130473,0.10805639630595891,0.8869191974199105,0.0,2.0,0.19218403433116163,0.015126887823750046,0.000823860246580807,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
674,joint-slow-regime-61d575a245,0.012551773063672377,0.3570289116065807,0.0163419549554292,0.20797908789440914,0.7756789571501617,0.0,4.0,0.19559986184864492,0.03215126806717894,0.0017788343968678233,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
675,joint-slow-regime-61d575a245,0.013969803026638214,0.4628133973541632,0.06275687700643513,0.40892079404028686,0.528322328953278,0.0,2.0,0.19158755416694118,0.00978431409971714,0.0005642593438829335,2.0,1.2,0.0,0.0,2.12,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6572143554687497
676,joint-slow-regime-61d575a245,0.0135919358175356,0.47600966016085894,0.046155367288579725,0.4556858229246275,0.49815880978679267,0.0,2.0,0.19056217662246802,0.003103446140864996,0.0002597362402034231,1.0,0.8,0.0,0.0,1.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6972143554687498
677,joint-slow-regime-61d575a245,0.012921716695399727,0.5161277832762482,0.06487121777386792,0.5478674287087321,0.3872613535174,0.0,1.0,0.1885473721202137,-0.007040135651576129,-0.00035764099794766135,1.0,0.6,0.0,0.0,1.06,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.7172143554687498
678,joint-slow-regime-61d575a245,0.012496193028913657,0.5308880862440254,0.06502988477129544,0.599406062160007,0.3355640530686975,0.0,2.0,0.19360978207175944,0.016532673516516994,0.0010523137901735924,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
679,joint-slow-regime-61d575a245,0.014142594317599339,0.4669472363445988,0.016751909658950143,0.43826026567113885,0.544987824669911,0.0,3.0,0.20309574530417177,0.06615167166255587,0.0038124719303962717,2.0,1.4,0.0,0.0,2.14,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6372143554687497
680,joint-slow-regime-61d575a245,0.017147664332768216,0.5126575059888657,0.0344932728948808,0.47697308511177505,0.48853364199334415,0.0,2.0,0.19037715897879734,0.002490549931017494,9.757654885116096e-05,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
681,joint-slow-regime-61d575a245,0.014826684542588158,0.45231829226402914,0.014115946170889824,0.357664037656079,0.628220016173031,0.0,1.0,0.18606872129526014,-0.017072170308618073,-0.0010499095376610146,3.0,2.0,1.0,0.0,3.5500000000000003,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7727856445312504
