round,draw_date,training_rows,selected_research_model,selection_score,champion_tickets,research_tickets,champion_max_hits,research_max_hits,random_mean_max_hits,champion_mean_hits,research_mean_hits,random_mean_ticket_hits,champion_ge3,research_ge3,random_ge3_rate,champion_ge4,research_ge4,random_ge4_rate,champion_score,research_score,random_mean_score,research_delta_vs_champion,research_delta_vs_random
669,2026-03-20,668,stable-9892a39bad,2.705794,01 12 13 14 22 33 35 | 04 06 12 14 22 29 37 | 08 09 12 22 29 34 35 | 06 12 14 18 22 34 35 | 06 12 13 22 26 29 33,01 12 18 22 26 29 33 | 06 09 12 14 20 22 34 | 08 12 13 14 22 25 33 | 04 06 12 18 22 23 35 | 01 08 12 17 22 30 35,2,2,2.437500,1.200000,0.800000,1.368750,0,0,0.375000,0,0,0.125000,2.120000,2.080000,2.799375,-0.040000,-0.719375
670,2026-03-27,669,stable-9892a39bad,2.704500,04 06 12 13 17 22 33 | 01 12 13 14 16 22 35 | 01 06 14 22 29 33 34 | 06 09 12 14 20 22 33 | 01 06 12 13 22 23 29,06 12 14 22 29 30 35 | 09 12 13 22 31 33 34 | 04 06 08 12 13 19 22 | 04 09 14 16 18 22 26 | 12 13 22 23 25 26 29,1,3,2.500000,0.400000,1.000000,1.462500,0,1,0.437500,0,0,0.187500,1.040000,3.450000,2.940000,2.410000,0.510000
671,2026-04-03,670,stable-9892a39bad,2.710314,04 06 09 13 14 22 35 | 03 08 09 10 12 18 22 | 04 06 08 12 22 33 34 | 06 09 12 17 22 26 37 | 04 06 12 14 17 21 22,06 09 12 14 17 22 29 | 04 18 22 23 34 35 37 | 01 12 13 22 27 33 34 | 04 06 10 12 13 16 22 | 09 10 12 18 22 33 35,2,3,2.187500,1.400000,2.000000,1.218750,0,1,0.375000,0,0,0.031250,2.140000,3.550000,2.464063,1.410000,1.085938
672,2026-04-10,671,stable-9892a39bad,2.711078,06 07 09 13 22 33 35 | 04 12 13 16 17 18 22 | 08 10 12 13 14 22 33 | 09 12 13 16 22 31 33 | 04 06 07 12 18 22 33,06 12 13 16 22 29 33 | 04 09 12 22 30 35 36 | 09 14 17 22 31 33 34 | 05 09 12 13 14 18 22 | 03 06 07 09 12 13 22,2,2,2.625000,1.800000,1.000000,1.375000,0,0,0.562500,0,0,0.093750,2.180000,2.100000,3.029688,-0.080000,-0.929688
673,2026-04-17,672,stable-9892a39bad,2.705392,13 14 16 17 18 22 33 | 04 06 07 12 22 31 33 | 06 09 12 13 16 22 37 | 03 07 12 13 17 22 33 | 06 12 13 18 22 33 35,06 07 09 13 17 22 33 | 12 13 14 16 22 30 33 | 04 09 12 22 33 35 37 | 03 06 09 12 16 22 33 | 05 07 12 18 22 29 34,4,4,2.375000,2.000000,2.200000,1.218750,1,1,0.437500,1,1,0.093750,5.300000,5.320000,2.720312,0.020000,2.599687
674,2026-04-24,673,stable-9892a39bad,2.749353,04 06 09 12 13 16 22 | 03 07 09 12 16 22 33 | 01 06 09 16 17 22 33 | 10 13 14 16 22 24 33 | 04 06 07 10 16 22 33,06 09 12 16 18 22 33 | 04 07 09 12 13 22 24 | 04 07 09 16 22 29 33 | 06 12 13 14 22 27 29 | 03 12 14 16 17 22 24,4,4,2.500000,3.200000,3.200000,1.350000,1,1,0.406250,1,1,0.187500,5.420000,5.420000,2.917813,0.000000,2.502187
675,2026-05-01,674,stable-9892a39bad,2.789039,01 06 07 09 13 16 22 | 06 07 12 17 22 24 33 | 04 06 07 09 12 22 34 | 06 08 09 12 16 22 35 | 06 09 10 12 22 32 33,07 09 12 13 16 22 33 | 01 06 12 18 22 24 37 | 04 06 09 12 16 22 24 | 06 07 09 10 12 22 28 | 03 06 07 09 12 16 22,2,2,2.593750,0.800000,1.400000,1.362500,0,0,0.500000,0,0,0.062500,2.080000,2.140000,2.951875,0.060000,-0.811875
676,2026-05-08,675,stable-9892a39bad,2.786382,01 06 09 10 12 16 22 | 06 07 09 11 16 22 24 | 07 09 12 16 18 22 31 | 06 09 12 17 22 24 33 | 06 16 18 22 28 29 33,06 09 12 13 16 22 29 | 07 10 12 22 24 33 34 | 01 07 09 12 16 17 22 | 06 07 08 12 16 22 24 | 06 07 09 12 16 33 34,2,2,2.375000,1.800000,1.400000,1.356250,0,0,0.343750,0,0,0.062500,2.180000,2.140000,2.677812,-0.040000,-0.537812
677,2026-05-15,676,stable-9892a39bad,2.760402,06 07 09 12 16 22 24 | 06 09 16 17 22 33 34 | 06 09 12 16 18 22 37 | 06 07 12 14 16 18 22 | 06 09 12 16 17 22 35,04 06 09 10 12 16 22 | 01 06 07 09 12 18 22 | 06 12 13 14 22 33 34 | 06 09 16 18 22 24 29 | 06 07 12 16 22 28 34,2,2,2.437500,1.800000,1.400000,1.475000,0,0,0.375000,0,0,0.125000,2.180000,2.140000,2.810000,-0.040000,-0.670000
678,2026-05-22,677,stable-9892a39bad,2.759294,06 07 09 16 17 22 35 | 06 07 08 09 12 14 22 | 05 06 09 12 13 16 22 | 04 06 07 08 16 22 33 | 06 07 12 15 16 22 25,05 06 07 08 09 12 22 | 06 09 16 17 22 24 34 | 04 06 07 12 16 19 22 | 06 12 13 15 22 24 33 | 05 06 07 12 16 17 22,3,4,2.218750,1.800000,2.600000,1.212500,1,1,0.343750,0,1,0.000000,3.530000,5.360000,2.460312,1.830000,2.899687
